Number of Folds,train_accuracy,test_accuracy,train_ham_accuracy,test_ham_accuracy,train_spam_accuracy,test_spam_accuracy
2,0.956389088298636,0.9450825556353195,0.9919172241834151,0.9848716202354784,0.7269354838709677,0.6880537634408601
3,0.9586325841884998,0.9452621496953216,0.9901544521996851,0.9817714704356586,0.7550586898241503,0.7101598043332141
5,0.9595297792484547,0.9510046614229013,0.9911914050928203,0.9848647175952795,0.7550369259533813,0.7329600786152961
7,0.9606365159128979,0.9531586503948313,0.9918826040837673,0.986938019702516,0.7587937345699621,0.7342627580076296
10,0.9606764031797705,0.9517242266880306,0.9915257795639807,0.9852711497765789,0.7613967662359655,0.733504813726735
15,0.9607604651965356,0.9515443101566047,0.9914434215788112,0.9850984980850659,0.7625767387267764,0.736946034894425
20,0.9607813289693903,0.9526159717387381,0.9915894836486764,0.9865715658144246,0.7617754720450345,0.7330100297182245
