Run,overall_accuracy,ham_accuracy,spam_accuracy
0,0.9517242266880306,0.9852711497765789,0.733504813726735
1,0.9517242266880306,0.9852711497765789,0.733504813726735
2,0.9517242266880306,0.9850632495686789,0.7348206032004192
3,0.9517242266880306,0.9850632495686789,0.7348206032004192
4,0.9517242266880306,0.9852711497765789,0.733504813726735
5,0.9517242266880306,0.9850632495686789,0.7348206032004192
6,0.951903759901675,0.9852711497765789,0.7348206032004192
7,0.9517242266880306,0.9852711497765789,0.733504813726735
8,0.951903759901675,0.9852711497765789,0.7348206032004192
9,0.9522628263289642,0.9856822499024862,0.7348206032004192
