Run,overall_accuracy,ham_accuracy,spam_accuracy
0,0.9413138742495321,0.956092029686762,0.8445330580572111
1,0.9413138742495321,0.956092029686762,0.8445330580572111
2,0.9413138742495321,0.956092029686762,0.8445330580572111
3,0.9413138742495321,0.956092029686762,0.8445330580572111
4,0.9413138742495321,0.956092029686762,0.8445330580572111
5,0.9413138742495321,0.956092029686762,0.8445330580572111
6,0.9413138742495321,0.956092029686762,0.8445330580572111
7,0.9413138742495321,0.956092029686762,0.8445330580572111
8,0.9413138742495321,0.956092029686762,0.8445330580572111
9,0.9413138742495321,0.956092029686762,0.8445330580572111
