Number of Folds,train_accuracy,test_accuracy,train_ham_accuracy,test_ham_accuracy,train_spam_accuracy,test_spam_accuracy
2,0.9465183058147881,0.9353912419239052,0.9573020748248242,0.9498455710965723,0.8767956989247312,0.8420752688172043
3,0.9479544255932169,0.9396985851882896,0.9600998594113993,0.9548266264684085,0.869502603956934,0.8424281066249207
5,0.9471465888139223,0.9405968875542424,0.9594283632199014,0.9550349011062769,0.8677898748769666,0.8478054562225864
7,0.946608040201005,0.9434673366834172,0.9588255003203093,0.9577302885624546,0.8676817432147442,0.8508311428886391
10,0.9466580195591924,0.9413138742495321,0.9592159937079506,0.956092029686762,0.8655064702321678,0.8445330580572111
15,0.946287612342794,0.9411360364799196,0.958652818975102,0.9557466813417005,0.866428693759272,0.8492910562494547
20,0.9462349303964842,0.9416647327299451,0.95859271345191,0.9561829526817982,0.8664084994768111,0.8485556570125278
