Number of Folds,overall_accuracy,ham_accuracy,spam_accuracy
2,0.9233668341708543,0.9981327800829876,0.43886204622354763
3,0.9194123651641334,0.998136753461459,0.40613775056343543
5,0.9174412894188115,0.9968911344625034,0.39752046151639664
7,0.9138549892318736,0.9966901593758779,0.37780591463480134
10,0.9113453408235364,0.9973125727151716,0.35651393399211945
15,0.9120593378353573,0.9973047213918422,0.3623071414924342
20,0.9138547226734742,0.9970920438736582,0.37615157493998647
