,Total,ham,spam
0,0.8682226211849192,1.0,0.014760963674007152
1,0.8727109515260324,1.0,0.04973637107578721
2,0.8843806104129264,1.0,0.1340591710658326
3,0.8910233393177738,1.0,0.1884791293459464
4,0.903411131059246,1.0,0.28346171668372266
5,0.9199281867145424,1.0,0.4048521309450372
6,0.9244165170556553,1.0,0.44005790968558633
7,0.9330341113105923,1.0,0.5018116940946549
8,0.9346499102333933,1.0,0.5132173965086206
9,0.9411131059245961,1.0,0.5629529925209288
10,0.948653500897666,1.0,0.6190919062483398
