,Total,ham,spam
0,0.9308797127468583,0.9936133417162847,0.5370885881297605
1,0.9617594254937165,0.9958427557694775,0.7383153542279307
2,0.9671454219030521,0.9937820453712828,0.7932131405666109
3,0.9676840215439857,0.9937863411520276,0.7956774679629154
4,0.9728904847396768,0.9952702977747963,0.8265544991777082
5,0.9757630161579893,0.9948122395488757,0.8484322328941701
6,0.9771992818671453,0.9931479349281384,0.8703911359974409
7,0.9786355475763017,0.9939628280090236,0.8761188042308993
8,0.9771992818671453,0.9935635863628607,0.8668381551018634
9,0.9798922800718133,0.9937554613654781,0.8870146352273395
10,0.9813285457809695,0.9943878925183649,0.8963592281967252
